PageNo,Text
1,[]
2,"['Crawford, Martha E. (Foster)', 'Diary, 1850-1853 & 1878', 'Alabama', 'Nov. 5, 1933']"
3,"['(', 'Y 3']"
5,"['Clinton Ala', 'to', 'August Both/8500', 'all', 'te', 'in', '-', '-', '/', 'a', 'to', 'e', '2', 'a', '2', 'S']"
6,[]
7,"['Aug. 30th This is the day for Webster to be', 'burng for the murder of Parkman. To think', 'of an immortal soul, unprepared I supposedits', 'be thus launched', 'into atemity His f ate', 'is decided never to be revoked. ml ata thought', 'The glories of Heaven do not eurpap the', 'horrors of Hell- for hell is a deprivation of', 'Heaven O that I may enjoy a Heaven', 'gts', 'Not only that but the consolations of hope-', 'f', 'the comforts of the religion of tesus, while here', '2000', 'on earth! I fear I indulge too much in', 'beity and Day things before my papies I', 'the', 'ought not.', 'in', 'Sept.', '1st', 'went', 'hears', 'to', 'away,', 'a', 'Compbellite,', 'preach.', 'e', 'Though are do not consider them orthodox, yet my', 'I heard proclaimed Aesus the savior of', 'F', 'sinners. I could not agree with him in all', 'the', 'things, nor must I judge whether or not', 'he be truly a christian still he spoke of the', 'ber', 'consolations of the gospel.', 'his', '""Pesus I love They whanning name', 'my', '""Tis music to any ear.""', 'me', 'by']"
8,"['CO praise the Lord for all His wonderful', 'works ! that my sinful heart could feel', 'grateful for His great murcies. The thought', 'that in Heaven I may genaise Him Journ', 'without sins! it is They gift any savior and', 'get what a small place el give Thee in any', 'affections. Till my whole being with a can', 'stant desire to serve Thee. Let no other in', 'be', 'terest conflict w me active in all my', 'duties constant in prayer. diliging and', 'waterful. Let any eye of faith the constantly', 'directed tho Heaven through the mists and', 'darkneep. the snares and temptrations of', 'this world. I my saviar how I love', 'to praise They glarious name!', 'Septill', 'A letter ! Alea! and a confession sine-', 'ilar to one I made while in Enthow that', 'I had caused, and do cause him to lose study.', 'thinking of me!', 'My school is heavy on my heart', ""can's do much"", 'as as l would. I my Pood', 'teach me true wis dom-duide in every', 'word, thought action.']"
9,"['1050', 'A lecture this evening from a Sanders', 'on early training of children. Contained', 'much instruction. O what a slottful ser', 'want am I! while my whole time should', 'be occupied in devising plans of usefulners', 'it is spent in trifting. adlonefs and sin.', ""O for more grace: ! can't I do something"", 'towards sitting up a sabbatte school a', 'Birle elap- a pray esmisting. Glorious thoughts', 'that my trust in', 'is Him who rules and', 'reigns over all. matter fact not in is ackrowled', 'edged his infinite middom rules all.', 'Sept.sth Mr. Sanders gave me a piece written', 'for me on Sunday, & schools. I', 'have determined', 'to make the attempt Sunday. I have the', 'promise of the attendance of most of my', 'pupils. I cannot do much. who is willing', 'to be the superintendent to open the school', ""with singing and prayer? I don't know"", 'whether any of these old men pray in put', 'lie, or would attend: they seem so cold in', 'all except a strong preditition for every', 'thing Our strength must come', 'from above ! Be There any helper Omy God.']"
10,"['Dept.6th My trust is in the Eternal,', 'shall I fear? Chee of leg', 'than infinite power were insufficients', 'O this sinful heart of unbelief this', 'wandering coldness - seeking for, and loving', 'the things of this world! I desire that', 'every moment of my life may be spert', 'in devising and executing plans of use', 'fulnefor a desire a continual growth', 'in grace a higher standard of painty-', 'more faith in Him who has paid', '""ask, and ye shall receive, such and ye', 'shall find, knock and it shall be of', 'ed unto you."" ""O the depth of the riches', 'of the knowledge of Jesus!"" Mtry is not', 'more of my time spent in searching', 'the scriptures ? That inexphanatitle stare', 'of wisdom, knowledge, joy! Guide me', 'Dirth me the inclination and', 'by they Holy Spirit in the way of all', 'wisdom to search they word profitally', 'Sept-rith Drusilla Marwell, a peous young', 'lady spent the here she is anxious to end']"
11,"['1850', 'gashers and pupils-now for officers to', 'in a Sunday school. We can set', 'rule! One thing we can do 4 we can teach', 'those who so whether sure have a superintient', 'dent or not. On what a slight pretence', 'l neglect prayer! cold,', 'And how dead when', 'd do come. lengr Steful, sestiful writch.', 'Sept.stha west day. some of the girls', 'came and recited a Rabbath school lesson.', 'Mr. Teague will be here next sunday', 'perhaps he can help us on.', 'Sept. 10th to Two news secholars. leve from Erisabe', 'the', 'school: I Think she is rather affected. - rather', 'above my other dear plain girls. A school has', 'many many Trials. - some pleasures too I think', 'is will be improving. My whole time is taken', 'up-d have not sufficient to get through all', 'my duties.', 'Sept. 12th spent last might at Col. llaf-', 'wells. Had sweet delightful conversation with', 'Sunilla she feels that Christians are doing', 'so little while a world is full of perisling', 'immortals : she is willing to exert herself', 'in the Preat cause. Felt bad on account of']"
